Ground,year,Opposition_Country,Country,result
Khan Shaheb Osman Ali Stadium,2014,Pakistan,Afghanistan,0
Khan Shaheb Osman Ali Stadium,2014,Bangladesh,Afghanistan,1
Shere Bangla National Stadium,2014,India,Afghanistan,0
Manuka Oval,2015,Bangladesh,Afghanistan,0
WACA Ground,2015,Australia,Afghanistan,0
McLean Park,2015,New Zealand,Afghanistan,0
Sydney Cricket Ground,2015,England,Afghanistan,0
Shere Bangla National Stadium,2016,Bangladesh,Afghanistan,0
Shere Bangla National Stadium,2016,Bangladesh,Afghanistan,1
Shere Bangla National Stadium,2016,Bangladesh,Afghanistan,0
Sheikh Zayed Stadium,2018,Bangladesh,Afghanistan,1
Sheikh Zayed Stadium,2018,Pakistan,Afghanistan,0
Sheikh Zayed Stadium,2018,Bangladesh,Afghanistan,0
County Ground (Bristol),2019,Australia,Afghanistan,0
The Cooper Associates County Ground,2019,New Zealand,Afghanistan,0
Sophia Gardens,2019,South Africa,Afghanistan,0
Old Trafford,2019,England,Afghanistan,0
The Rose Bowl,2019,India,Afghanistan,0
The Rose Bowl,2019,Bangladesh,Afghanistan,0
Headingley,2019,Pakistan,Afghanistan,0
Zahur Ahmed Chowdhury Stadium,2022,Bangladesh,Afghanistan,0
Zahur Ahmed Chowdhury Stadium,2022,Bangladesh,Afghanistan,0
Zahur Ahmed Chowdhury Stadium,2022,Bangladesh,Afghanistan,1
Zahur Ahmed Chowdhury Stadium,2023,Bangladesh,Afghanistan,1
Zahur Ahmed Chowdhury Stadium,2023,Bangladesh,Afghanistan,1
Zahur Ahmed Chowdhury Stadium,2023,Bangladesh,Afghanistan,0
Mahinda Rajapaksha International Cricket Stadium,2023,Pakistan,Afghanistan,0
Mahinda Rajapaksha International Cricket Stadium,2023,Pakistan,Afghanistan,0
R Premadasa Stadium,2023,Pakistan,Afghanistan,0
Gaddafi Stadium,2023,Bangladesh,Afghanistan,0
Himachal Pradesh Cricket Association Stadium,2023,Bangladesh,Afghanistan,0
Arun Jaitley Stadium,2023,India,Afghanistan,0
Arun Jaitley Stadium,2023,England,Afghanistan,1
MA Chidambaram Stadium,2023,New Zealand,Afghanistan,0
MA Chidambaram Stadium,2023,Pakistan,Afghanistan,1
Wankhede Stadium,2023,Australia,Afghanistan,0
Narendra Modi Stadium,2023,South Africa,Afghanistan,0
Sharjah Cricket Stadium,2024,South Africa,Afghanistan,1
Sharjah Cricket Stadium,2024,South Africa,Afghanistan,1
Sharjah Cricket Stadium,2024,South Africa,Afghanistan,0
Sharjah Cricket Stadium,2024,Bangladesh,Afghanistan,1
Sharjah Cricket Stadium,2024,Bangladesh,Afghanistan,0
Sharjah Cricket Stadium,2024,Bangladesh,Afghanistan,1
