Ground,year,Opposition_Country,Country,result
Khan Shaheb Osman Ali Stadium,2014,India,Bangladesh,0
Khan Shaheb Osman Ali Stadium,2014,Afghanistan,Bangladesh,0
Shere Bangla National Stadium,2014,Pakistan,Bangladesh,0
Shere Bangla National Stadium,2014,India,Bangladesh,0
Shere Bangla National Stadium,2014,India,Bangladesh,0
Manuka Oval,2015,Afghanistan,Bangladesh,1
Adelaide Oval,2015,England,Bangladesh,1
Seddon Park,2015,New Zealand,Bangladesh,0
Melbourne Cricket Ground,2015,India,Bangladesh,0
Shere Bangla National Stadium,2015,Pakistan,Bangladesh,1
Shere Bangla National Stadium,2015,Pakistan,Bangladesh,1
Shere Bangla National Stadium,2015,Pakistan,Bangladesh,1
Shere Bangla National Stadium,2015,India,Bangladesh,1
Shere Bangla National Stadium,2015,India,Bangladesh,1
Shere Bangla National Stadium,2015,India,Bangladesh,0
Shere Bangla National Stadium,2015,South Africa,Bangladesh,0
Shere Bangla National Stadium,2015,South Africa,Bangladesh,1
Zahur Ahmed Chowdhury Stadium,2015,South Africa,Bangladesh,1
Shere Bangla National Stadium,2016,Afghanistan,Bangladesh,1
Shere Bangla National Stadium,2016,Afghanistan,Bangladesh,0
Shere Bangla National Stadium,2016,Afghanistan,Bangladesh,1
Shere Bangla National Stadium,2016,England,Bangladesh,0
Shere Bangla National Stadium,2016,England,Bangladesh,1
Zahur Ahmed Chowdhury Stadium,2016,England,Bangladesh,0
Hagley Oval,2016,New Zealand,Bangladesh,0
Saxton Oval,2016,New Zealand,Bangladesh,0
Saxton Oval,2016,New Zealand,Bangladesh,0
Castle Avenue,2017,New Zealand,Bangladesh,0
Castle Avenue,2017,New Zealand,Bangladesh,1
Kennington Oval,2017,England,Bangladesh,0
Sophia Gardens,2017,New Zealand,Bangladesh,1
Edgbaston,2017,India,Bangladesh,0
Diamond Oval,2017,South Africa,Bangladesh,0
Boland Park,2017,South Africa,Bangladesh,0
Buffalo Park,2017,South Africa,Bangladesh,0
Sheikh Zayed Stadium,2018,Afghanistan,Bangladesh,0
Dubai International Cricket Stadium,2018,India,Bangladesh,0
Sheikh Zayed Stadium,2018,Afghanistan,Bangladesh,1
Sheikh Zayed Stadium,2018,Pakistan,Bangladesh,1
Dubai International Cricket Stadium,2018,India,Bangladesh,0
McLean Park,2019,New Zealand,Bangladesh,0
Hagley Oval,2019,New Zealand,Bangladesh,0
University Oval,2019,New Zealand,Bangladesh,0
Kennington Oval,2019,South Africa,Bangladesh,1
Kennington Oval,2019,New Zealand,Bangladesh,0
Sophia Gardens,2019,England,Bangladesh,0
Trent Bridge,2019,Australia,Bangladesh,0
The Rose Bowl,2019,Afghanistan,Bangladesh,1
Edgbaston,2019,India,Bangladesh,0
Lord's,2019,Pakistan,Bangladesh,0
University Oval,2021,New Zealand,Bangladesh,0
Hagley Oval,2021,New Zealand,Bangladesh,0
Basin Reserve,2021,New Zealand,Bangladesh,0
Zahur Ahmed Chowdhury Stadium,2022,Afghanistan,Bangladesh,1
Zahur Ahmed Chowdhury Stadium,2022,Afghanistan,Bangladesh,1
Zahur Ahmed Chowdhury Stadium,2022,Afghanistan,Bangladesh,0
SuperSport Park,2022,South Africa,Bangladesh,1
Wanderers Stadium,2022,South Africa,Bangladesh,0
SuperSport Park,2022,South Africa,Bangladesh,1
Shere Bangla National Stadium,2022,India,Bangladesh,1
Shere Bangla National Stadium,2022,India,Bangladesh,1
Zahur Ahmed Chowdhury Stadium,2022,India,Bangladesh,0
Shere Bangla National Stadium,2023,England,Bangladesh,0
Shere Bangla National Stadium,2023,England,Bangladesh,0
Zahur Ahmed Chowdhury Stadium,2023,England,Bangladesh,1
Zahur Ahmed Chowdhury Stadium,2023,Afghanistan,Bangladesh,0
Zahur Ahmed Chowdhury Stadium,2023,Afghanistan,Bangladesh,0
Zahur Ahmed Chowdhury Stadium,2023,Afghanistan,Bangladesh,1
Gaddafi Stadium,2023,Afghanistan,Bangladesh,1
Gaddafi Stadium,2023,Pakistan,Bangladesh,0
R Premadasa Stadium,2023,India,Bangladesh,1
Shere Bangla National Stadium,2023,New Zealand,Bangladesh,0
Shere Bangla National Stadium,2023,New Zealand,Bangladesh,0
Himachal Pradesh Cricket Association Stadium,2023,Afghanistan,Bangladesh,1
Himachal Pradesh Cricket Association Stadium,2023,England,Bangladesh,0
MA Chidambaram Stadium,2023,New Zealand,Bangladesh,0
Maharashtra Cricket Association Stadium,2023,India,Bangladesh,0
Wankhede Stadium,2023,South Africa,Bangladesh,0
Eden Gardens,2023,Pakistan,Bangladesh,0
Maharashtra Cricket Association Stadium,2023,Australia,Bangladesh,0
University Oval,2023,New Zealand,Bangladesh,0
Saxton Oval,2023,New Zealand,Bangladesh,0
McLean Park,2023,New Zealand,Bangladesh,1
Sharjah Cricket Stadium,2024,Afghanistan,Bangladesh,0
Sharjah Cricket Stadium,2024,Afghanistan,Bangladesh,1
Sharjah Cricket Stadium,2024,Afghanistan,Bangladesh,0
