Ground,year,Opposition_Country,Country,result
Shere Bangla National Stadium,2016,Bangladesh,Afghanistan,0
Zahur Ahmed Chowdhury Stadium,2022,Bangladesh,Afghanistan,0
Zahur Ahmed Chowdhury Stadium,2023,Bangladesh,Afghanistan,1
Mahinda Rajapaksha International Cricket Stadium,2023,Pakistan,Afghanistan,0
Sharjah Cricket Stadium,2024,South Africa,Afghanistan,1
Sharjah Cricket Stadium,2024,Bangladesh,Afghanistan,1
Harare Sports Club,2014,South Africa,Australia,0
Sharjah Cricket Stadium,2019,Pakistan,Australia,1
Dubai International Cricket Stadium,2019,Pakistan,Australia,1
Old Trafford,2020,England,Australia,1
Sydney Cricket Ground,2020,India,Australia,1
Gaddafi Stadium,2022,Pakistan,Australia,0
Cazaly's Stadium,2022,New Zealand,Australia,1
Cazaly's Stadium,2022,New Zealand,Australia,1
Mangaung Oval,2023,South Africa,Australia,1
Shere Bangla National Stadium,2014,India,Bangladesh,0
Shere Bangla National Stadium,2015,Pakistan,Bangladesh,1
Shere Bangla National Stadium,2015,Pakistan,Bangladesh,1
Shere Bangla National Stadium,2015,India,Bangladesh,1
Shere Bangla National Stadium,2016,Afghanistan,Bangladesh,1
Saxton Oval,2016,New Zealand,Bangladesh,0
Dubai International Cricket Stadium,2018,India,Bangladesh,0
Zahur Ahmed Chowdhury Stadium,2022,Afghanistan,Bangladesh,1
SuperSport Park,2022,South Africa,Bangladesh,1
Shere Bangla National Stadium,2022,India,Bangladesh,1
Shere Bangla National Stadium,2023,England,Bangladesh,0
Zahur Ahmed Chowdhury Stadium,2023,Afghanistan,Bangladesh,0
Shere Bangla National Stadium,2023,New Zealand,Bangladesh,0
Sharjah Cricket Stadium,2024,Afghanistan,Bangladesh,0
Old Trafford,2020,Australia,England,0
Maharashtra Cricket Association Stadium,2021,India,England,0
Mangaung Oval,2023,South Africa,England,0
Shere Bangla National Stadium,2023,Bangladesh,England,1
Seddon Park,2014,New Zealand,India,0
Shere Bangla National Stadium,2014,Bangladesh,India,1
Shere Bangla National Stadium,2015,Bangladesh,India,0
SuperSport Park,2018,South Africa,India,1
Dubai International Cricket Stadium,2018,Pakistan,India,1
Dubai International Cricket Stadium,2018,Bangladesh,India,1
Bay Oval,2019,New Zealand,India,1
Sydney Cricket Ground,2020,Australia,India,0
Maharashtra Cricket Association Stadium,2021,England,India,1
Boland Park,2022,South Africa,India,0
Shere Bangla National Stadium,2022,Bangladesh,India,0
Seddon Park,2014,India,New Zealand,1
Bay Oval,2014,South Africa,New Zealand,0
Sheikh Zayed Stadium,2014,Pakistan,New Zealand,1
Saxton Oval,2016,Bangladesh,New Zealand,1
Basin Reserve,2018,Pakistan,New Zealand,1
Bay Oval,2019,India,New Zealand,0
Cazaly's Stadium,2022,Australia,New Zealand,0
Cazaly's Stadium,2022,Australia,New Zealand,0
National Stadium (Karachi),2023,Pakistan,New Zealand,1
Rawalpindi Cricket Stadium,2023,Pakistan,New Zealand,0
National Stadium (Karachi),2023,Pakistan,New Zealand,0
National Stadium (Karachi),2023,Pakistan,New Zealand,0
National Stadium (Karachi),2023,Pakistan,New Zealand,1
Shere Bangla National Stadium,2023,Bangladesh,New Zealand,1
Sheikh Zayed Stadium,2014,New Zealand,Pakistan,0
Shere Bangla National Stadium,2015,Bangladesh,Pakistan,0
Shere Bangla National Stadium,2015,Bangladesh,Pakistan,0
Basin Reserve,2018,New Zealand,Pakistan,0
Dubai International Cricket Stadium,2018,India,Pakistan,0
Sharjah Cricket Stadium,2019,Australia,Pakistan,0
Dubai International Cricket Stadium,2019,Australia,Pakistan,0
SuperSport Park,2021,South Africa,Pakistan,1
Gaddafi Stadium,2022,Australia,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,0
Rawalpindi Cricket Stadium,2023,New Zealand,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,0
Mahinda Rajapaksha International Cricket Stadium,2023,Afghanistan,Pakistan,1
Harare Sports Club,2014,Australia,South Africa,1
Bay Oval,2014,New Zealand,South Africa,1
SuperSport Park,2018,India,South Africa,0
SuperSport Park,2021,Pakistan,South Africa,0
Boland Park,2022,India,South Africa,1
SuperSport Park,2022,Bangladesh,South Africa,0
Mangaung Oval,2023,England,South Africa,1
Mangaung Oval,2023,Australia,South Africa,0
Sharjah Cricket Stadium,2024,Afghanistan,South Africa,0
