Ground,year,Opposition_Country,Country,result
Melbourne Cricket Ground,2014,Australia,England,0
Brisbane Cricket Ground,2014,Australia,England,0
Sydney Cricket Ground,2014,Australia,England,0
WACA Ground,2014,Australia,England,1
Adelaide Oval,2014,Australia,England,0
Sophia Gardens,2014,India,England,0
Trent Bridge,2014,India,England,0
Edgbaston,2014,India,England,0
Headingley,2014,India,England,1
Sydney Cricket Ground,2015,Australia,England,0
Brisbane Cricket Ground,2015,India,England,1
Bellerive Oval,2015,Australia,England,0
WACA Ground,2015,India,England,1
WACA Ground,2015,Australia,England,0
Melbourne Cricket Ground,2015,Australia,England,0
Sky Stadium,2015,New Zealand,England,0
Adelaide Oval,2015,Bangladesh,England,0
Sydney Cricket Ground,2015,Afghanistan,England,1
Edgbaston,2015,New Zealand,England,1
Kennington Oval,2015,New Zealand,England,0
The Rose Bowl,2015,New Zealand,England,0
Trent Bridge,2015,New Zealand,England,1
Riverside Ground,2015,New Zealand,England,1
The Rose Bowl,2015,Australia,England,0
Lord's,2015,Australia,England,0
Old Trafford,2015,Australia,England,1
Headingley,2015,Australia,England,1
Old Trafford,2015,Australia,England,0
Sheikh Zayed Stadium,2015,Pakistan,England,0
Sheikh Zayed Stadium,2015,Pakistan,England,1
Sharjah Cricket Stadium,2015,Pakistan,England,1
Dubai International Cricket Stadium,2015,Pakistan,England,1
Mangaung Oval,2016,South Africa,England,1
St George's Park,2016,South Africa,England,1
SuperSport Park,2016,South Africa,England,0
Wanderers Stadium,2016,South Africa,England,0
Newlands,2016,South Africa,England,0
The Rose Bowl,2016,Pakistan,England,1
Lord's,2016,Pakistan,England,1
Trent Bridge,2016,Pakistan,England,1
Headingley,2016,Pakistan,England,1
Sophia Gardens,2016,Pakistan,England,0
Shere Bangla National Stadium,2016,Bangladesh,England,1
Shere Bangla National Stadium,2016,Bangladesh,England,0
Zahur Ahmed Chowdhury Stadium,2016,Bangladesh,England,1
Maharashtra Cricket Association Stadium,2017,India,England,0
Barabati Stadium,2017,India,England,0
Eden Gardens,2017,India,England,1
Headingley,2017,South Africa,England,1
The Rose Bowl,2017,South Africa,England,1
Lord's,2017,South Africa,England,0
Kennington Oval,2017,Bangladesh,England,1
Sophia Gardens,2017,New Zealand,England,1
Edgbaston,2017,Australia,England,1
Sophia Gardens,2017,Pakistan,England,0
Melbourne Cricket Ground,2018,Australia,England,1
Brisbane Cricket Ground,2018,Australia,England,1
Sydney Cricket Ground,2018,Australia,England,1
Adelaide Oval,2018,Australia,England,0
Perth Stadium,2018,Australia,England,1
Seddon Park,2018,New Zealand,England,0
Bay Oval,2018,New Zealand,England,1
Sky Stadium,2018,New Zealand,England,1
University Oval,2018,New Zealand,England,0
Hagley Oval,2018,New Zealand,England,1
Kennington Oval,2018,Australia,England,1
Sophia Gardens,2018,Australia,England,1
Trent Bridge,2018,Australia,England,1
Riverside Ground,2018,Australia,England,1
Old Trafford,2018,Australia,England,1
Trent Bridge,2018,India,England,0
Lord's,2018,India,England,1
Headingley,2018,India,England,1
The Rose Bowl,2019,Pakistan,England,1
County Ground (Bristol),2019,Pakistan,England,1
Trent Bridge,2019,Pakistan,England,1
Headingley,2019,Pakistan,England,1
Kennington Oval,2019,South Africa,England,1
Trent Bridge,2019,Pakistan,England,0
Sophia Gardens,2019,Bangladesh,England,1
Old Trafford,2019,Afghanistan,England,1
Lord's,2019,Australia,England,0
Edgbaston,2019,India,England,1
Riverside Ground,2019,New Zealand,England,1
Edgbaston,2019,Australia,England,1
Lord's,2019,New Zealand,England,1
Newlands,2020,South Africa,England,0
Wanderers Stadium,2020,South Africa,England,1
Old Trafford,2020,Australia,England,0
Old Trafford,2020,Australia,England,1
Old Trafford,2020,Australia,England,0
Maharashtra Cricket Association Stadium,2021,India,England,0
Maharashtra Cricket Association Stadium,2021,India,England,1
Maharashtra Cricket Association Stadium,2021,India,England,0
Sophia Gardens,2021,Pakistan,England,1
Lord's,2021,Pakistan,England,1
Edgbaston,2021,Pakistan,England,1
Kennington Oval,2022,India,England,0
Lord's,2022,India,England,1
Old Trafford,2022,India,England,0
Riverside Ground,2022,South Africa,England,0
Old Trafford,2022,South Africa,England,1
Adelaide Oval,2022,Australia,England,0
Sydney Cricket Ground,2022,Australia,England,0
Melbourne Cricket Ground,2022,Australia,England,0
Mangaung Oval,2023,South Africa,England,0
Mangaung Oval,2023,South Africa,England,0
Diamond Oval,2023,South Africa,England,1
Shere Bangla National Stadium,2023,Bangladesh,England,1
Shere Bangla National Stadium,2023,Bangladesh,England,1
Zahur Ahmed Chowdhury Stadium,2023,Bangladesh,England,0
Sophia Gardens,2023,New Zealand,England,0
The Rose Bowl,2023,New Zealand,England,1
Kennington Oval,2023,New Zealand,England,1
Lord's,2023,New Zealand,England,1
Narendra Modi Stadium,2023,New Zealand,England,0
Himachal Pradesh Cricket Association Stadium,2023,Bangladesh,England,1
Arun Jaitley Stadium,2023,Afghanistan,England,0
Wankhede Stadium,2023,South Africa,England,0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2023,India,England,0
Narendra Modi Stadium,2023,Australia,England,0
Eden Gardens,2023,Pakistan,England,1
Trent Bridge,2024,Australia,England,0
Headingley,2024,Australia,England,0
Riverside Ground,2024,Australia,England,1
Lord's,2024,Australia,England,1
County Ground (Bristol),2024,Australia,England,0
