Ground,year,Opposition_Country,Country,result
McLean Park,2014,New Zealand,India,0
Seddon Park,2014,New Zealand,India,0
Seddon Park,2014,New Zealand,India,0
Sky Stadium,2014,New Zealand,India,0
Khan Shaheb Osman Ali Stadium,2014,Bangladesh,India,1
Shere Bangla National Stadium,2014,Pakistan,India,0
Shere Bangla National Stadium,2014,Bangladesh,India,1
Shere Bangla National Stadium,2014,Bangladesh,India,1
Sophia Gardens,2014,England,India,1
Trent Bridge,2014,England,India,1
Edgbaston,2014,England,India,1
Headingley,2014,England,India,0
Melbourne Cricket Ground,2015,Australia,India,0
Brisbane Cricket Ground,2015,England,India,0
WACA Ground,2015,England,India,0
Adelaide Oval,2015,Pakistan,India,1
Melbourne Cricket Ground,2015,South Africa,India,1
Melbourne Cricket Ground,2015,Bangladesh,India,1
Sydney Cricket Ground,2015,Australia,India,0
Shere Bangla National Stadium,2015,Bangladesh,India,0
Shere Bangla National Stadium,2015,Bangladesh,India,0
Shere Bangla National Stadium,2015,Bangladesh,India,1
Green Park,2015,South Africa,India,0
Holkar Cricket Stadium,2015,South Africa,India,1
Saurashtra Cricket Association Stadium,2015,South Africa,India,0
MA Chidambaram Stadium,2015,South Africa,India,1
Wankhede Stadium,2015,South Africa,India,0
WACA Ground,2016,Australia,India,0
Brisbane Cricket Ground,2016,Australia,India,0
Melbourne Cricket Ground,2016,Australia,India,0
Manuka Oval,2016,Australia,India,0
Sydney Cricket Ground,2016,Australia,India,1
Himachal Pradesh Cricket Association Stadium,2016,New Zealand,India,1
Arun Jaitley Stadium,2016,New Zealand,India,0
Punjab Cricket Association IS Bindra Stadium,2016,New Zealand,India,1
JSCA International Stadium Complex,2016,New Zealand,India,0
Dr YS Rajasekhara Reddy Cricket Stadium,2016,New Zealand,India,1
Maharashtra Cricket Association Stadium,2017,England,India,1
Barabati Stadium,2017,England,India,1
Eden Gardens,2017,England,India,0
Edgbaston,2017,Pakistan,India,1
Kennington Oval,2017,South Africa,India,1
Edgbaston,2017,Bangladesh,India,1
Kennington Oval,2017,Pakistan,India,0
MA Chidambaram Stadium,2017,Australia,India,1
Eden Gardens,2017,Australia,India,1
Holkar Cricket Stadium,2017,Australia,India,1
M Chinnaswamy Stadium,2017,Australia,India,0
Vidarbha Cricket Association Stadium,2017,Australia,India,1
Wankhede Stadium,2017,New Zealand,India,0
Maharashtra Cricket Association Stadium,2017,New Zealand,India,1
Green Park,2017,New Zealand,India,1
Kingsmead,2018,South Africa,India,1
SuperSport Park,2018,South Africa,India,1
Newlands,2018,South Africa,India,1
Wanderers Stadium,2018,South Africa,India,0
St George's Park,2018,South Africa,India,1
SuperSport Park,2018,South Africa,India,1
Trent Bridge,2018,England,India,1
Lord's,2018,England,India,0
Headingley,2018,England,India,0
Dubai International Cricket Stadium,2018,Pakistan,India,1
Dubai International Cricket Stadium,2018,Bangladesh,India,1
Dubai International Cricket Stadium,2018,Pakistan,India,1
Dubai International Cricket Stadium,2018,Bangladesh,India,1
Sydney Cricket Ground,2019,Australia,India,0
