Ground,year,Opposition_Country,Country,result
McLean Park,2014,India,New Zealand,1
Seddon Park,2014,India,New Zealand,1
Seddon Park,2014,India,New Zealand,1
Sky Stadium,2014,India,New Zealand,1
Bay Oval,2014,South Africa,New Zealand,0
Bay Oval,2014,South Africa,New Zealand,0
Dubai International Cricket Stadium,2014,Pakistan,New Zealand,0
Sharjah Cricket Stadium,2014,Pakistan,New Zealand,1
Sharjah Cricket Stadium,2014,Pakistan,New Zealand,0
Sheikh Zayed Stadium,2014,Pakistan,New Zealand,1
Sheikh Zayed Stadium,2014,Pakistan,New Zealand,1
Sky Stadium,2015,Pakistan,New Zealand,1
McLean Park,2015,Pakistan,New Zealand,1
Sky Stadium,2015,England,New Zealand,1
Eden Park,2015,Australia,New Zealand,1
McLean Park,2015,Afghanistan,New Zealand,1
Seddon Park,2015,Bangladesh,New Zealand,1
Eden Park,2015,South Africa,New Zealand,1
Melbourne Cricket Ground,2015,Australia,New Zealand,0
Edgbaston,2015,England,New Zealand,0
Kennington Oval,2015,England,New Zealand,1
The Rose Bowl,2015,England,New Zealand,1
Trent Bridge,2015,England,New Zealand,0
Riverside Ground,2015,England,New Zealand,0
SuperSport Park,2015,South Africa,New Zealand,0
Senwes Park,2015,South Africa,New Zealand,1
Kingsmead,2015,South Africa,New Zealand,0
Basin Reserve,2016,Pakistan,New Zealand,1
Eden Park,2016,Pakistan,New Zealand,1
Eden Park,2016,Australia,New Zealand,1
Sky Stadium,2016,Australia,New Zealand,0
Seddon Park,2016,Australia,New Zealand,1
Himachal Pradesh Cricket Association Stadium,2016,India,New Zealand,0
Arun Jaitley Stadium,2016,India,New Zealand,1
Punjab Cricket Association IS Bindra Stadium,2016,India,New Zealand,0
JSCA International Stadium Complex,2016,India,New Zealand,1
Dr YS Rajasekhara Reddy Cricket Stadium,2016,India,New Zealand,0
Sydney Cricket Ground,2016,Australia,New Zealand,0
Manuka Oval,2016,Australia,New Zealand,0
Melbourne Cricket Ground,2016,Australia,New Zealand,0
Hagley Oval,2016,Bangladesh,New Zealand,1
Saxton Oval,2016,Bangladesh,New Zealand,1
Saxton Oval,2016,Bangladesh,New Zealand,1
Eden Park,2017,Australia,New Zealand,1
Seddon Park,2017,Australia,New Zealand,1
Seddon Park,2017,South Africa,New Zealand,0
Hagley Oval,2017,South Africa,New Zealand,1
Sky Stadium,2017,South Africa,New Zealand,0
Seddon Park,2017,South Africa,New Zealand,1
Eden Park,2017,South Africa,New Zealand,0
Castle Avenue,2017,Bangladesh,New Zealand,1
Castle Avenue,2017,Bangladesh,New Zealand,0
Sophia Gardens,2017,England,New Zealand,0
Sophia Gardens,2017,Bangladesh,New Zealand,0
Wankhede Stadium,2017,India,New Zealand,1
Maharashtra Cricket Association Stadium,2017,India,New Zealand,0
Green Park,2017,India,New Zealand,0
Basin Reserve,2018,Pakistan,New Zealand,1
Saxton Oval,2018,Pakistan,New Zealand,1
University Oval,2018,Pakistan,New Zealand,1
Seddon Park,2018,Pakistan,New Zealand,1
Basin Reserve,2018,Pakistan,New Zealand,1
Seddon Park,2018,England,New Zealand,1
Bay Oval,2018,England,New Zealand,0
Sky Stadium,2018,England,New Zealand,0
University Oval,2018,England,New Zealand,1
Hagley Oval,2018,England,New Zealand,0
Sheikh Zayed Stadium,2018,Pakistan,New Zealand,1
Sheikh Zayed Stadium,2018,Pakistan,New Zealand,0
McLean Park,2019,India,New Zealand,0
Bay Oval,2019,India,New Zealand,0
Bay Oval,2019,India,New Zealand,0
Seddon Park,2019,India,New Zealand,1
Sky Stadium,2019,India,New Zealand,0
McLean Park,2019,Bangladesh,New Zealand,1
Hagley Oval,2019,Bangladesh,New Zealand,1
University Oval,2019,Bangladesh,New Zealand,1
Kennington Oval,2019,Bangladesh,New Zealand,1
The Cooper Associates County Ground,2019,Afghanistan,New Zealand,1
Edgbaston,2019,South Africa,New Zealand,1
Edgbaston,2019,Pakistan,New Zealand,0
Lord's,2019,Australia,New Zealand,0
Riverside Ground,2019,England,New Zealand,0
Old Trafford,2019,India,New Zealand,1
Lord's,2019,England,New Zealand,0
Seddon Park,2020,India,New Zealand,1
Eden Park,2020,India,New Zealand,1
Bay Oval,2020,India,New Zealand,1
Sydney Cricket Ground,2020,Australia,New Zealand,0
University Oval,2021,Bangladesh,New Zealand,1
Hagley Oval,2021,Bangladesh,New Zealand,1
Basin Reserve,2021,Bangladesh,New Zealand,1
Cazaly's Stadium,2022,Australia,New Zealand,0
Cazaly's Stadium,2022,Australia,New Zealand,0
Cazaly's Stadium,2022,Australia,New Zealand,0
Eden Park,2022,India,New Zealand,1
National Stadium (Karachi),2023,Pakistan,New Zealand,0
National Stadium (Karachi),2023,Pakistan,New Zealand,1
National Stadium (Karachi),2023,Pakistan,New Zealand,1
Rajiv Gandhi International Stadium,2023,India,New Zealand,0
Shaheed Veer Narayan Sing International Stadium,2023,India,New Zealand,0
Holkar Cricket Stadium,2023,India,New Zealand,0
Rawalpindi Cricket Stadium,2023,Pakistan,New Zealand,0
Rawalpindi Cricket Stadium,2023,Pakistan,New Zealand,0
National Stadium (Karachi),2023,Pakistan,New Zealand,0
National Stadium (Karachi),2023,Pakistan,New Zealand,0
National Stadium (Karachi),2023,Pakistan,New Zealand,1
Sophia Gardens,2023,England,New Zealand,1
The Rose Bowl,2023,England,New Zealand,0
Kennington Oval,2023,England,New Zealand,0
Lord's,2023,England,New Zealand,0
Shere Bangla National Stadium,2023,Bangladesh,New Zealand,1
Shere Bangla National Stadium,2023,Bangladesh,New Zealand,1
Narendra Modi Stadium,2023,England,New Zealand,1
MA Chidambaram Stadium,2023,Bangladesh,New Zealand,1
MA Chidambaram Stadium,2023,Afghanistan,New Zealand,1
Himachal Pradesh Cricket Association Stadium,2023,India,New Zealand,0
