Ground,year,Opposition_Country,Country,result
Khan Shaheb Osman Ali Stadium,2014,Afghanistan,Pakistan,1
Shere Bangla National Stadium,2014,India,Pakistan,1
Shere Bangla National Stadium,2014,Bangladesh,Pakistan,1
Sharjah Cricket Stadium,2014,Australia,Pakistan,0
Dubai International Cricket Stadium,2014,Australia,Pakistan,0
Sheikh Zayed Stadium,2014,Australia,Pakistan,0
Dubai International Cricket Stadium,2014,New Zealand,Pakistan,1
Sharjah Cricket Stadium,2014,New Zealand,Pakistan,0
Sharjah Cricket Stadium,2014,New Zealand,Pakistan,1
Sheikh Zayed Stadium,2014,New Zealand,Pakistan,0
Sheikh Zayed Stadium,2014,New Zealand,Pakistan,0
Sky Stadium,2015,New Zealand,Pakistan,0
McLean Park,2015,New Zealand,Pakistan,0
Adelaide Oval,2015,India,Pakistan,0
Eden Park,2015,South Africa,Pakistan,1
Adelaide Oval,2015,Australia,Pakistan,0
Shere Bangla National Stadium,2015,Bangladesh,Pakistan,0
Shere Bangla National Stadium,2015,Bangladesh,Pakistan,0
Shere Bangla National Stadium,2015,Bangladesh,Pakistan,0
Sheikh Zayed Stadium,2015,England,Pakistan,1
Sheikh Zayed Stadium,2015,England,Pakistan,0
Sharjah Cricket Stadium,2015,England,Pakistan,0
Dubai International Cricket Stadium,2015,England,Pakistan,0
Basin Reserve,2016,New Zealand,Pakistan,0
Eden Park,2016,New Zealand,Pakistan,0
The Rose Bowl,2016,England,Pakistan,0
Lord's,2016,England,Pakistan,0
Trent Bridge,2016,England,Pakistan,0
Headingley,2016,England,Pakistan,0
Sophia Gardens,2016,England,Pakistan,1
Brisbane Cricket Ground,2017,Australia,Pakistan,0
Melbourne Cricket Ground,2017,Australia,Pakistan,1
WACA Ground,2017,Australia,Pakistan,0
Sydney Cricket Ground,2017,Australia,Pakistan,0
Adelaide Oval,2017,Australia,Pakistan,0
Edgbaston,2017,India,Pakistan,0
Edgbaston,2017,South Africa,Pakistan,1
Sophia Gardens,2017,England,Pakistan,1
Kennington Oval,2017,India,Pakistan,1
Basin Reserve,2018,New Zealand,Pakistan,0
Saxton Oval,2018,New Zealand,Pakistan,0
University Oval,2018,New Zealand,Pakistan,0
Seddon Park,2018,New Zealand,Pakistan,0
Basin Reserve,2018,New Zealand,Pakistan,0
Dubai International Cricket Stadium,2018,India,Pakistan,0
Sheikh Zayed Stadium,2018,Afghanistan,Pakistan,1
Dubai International Cricket Stadium,2018,India,Pakistan,0
Sheikh Zayed Stadium,2018,Bangladesh,Pakistan,0
Sheikh Zayed Stadium,2018,New Zealand,Pakistan,0
Sheikh Zayed Stadium,2018,New Zealand,Pakistan,1
St George's Park,2019,South Africa,Pakistan,1
Kingsmead,2019,South Africa,Pakistan,0
SuperSport Park,2019,South Africa,Pakistan,0
Wanderers Stadium,2019,South Africa,Pakistan,1
Newlands,2019,South Africa,Pakistan,0
Sharjah Cricket Stadium,2019,Australia,Pakistan,0
Sharjah Cricket Stadium,2019,Australia,Pakistan,0
Sheikh Zayed Stadium,2019,Australia,Pakistan,0
Dubai International Cricket Stadium,2019,Australia,Pakistan,0
Dubai International Cricket Stadium,2019,Australia,Pakistan,0
The Rose Bowl,2019,England,Pakistan,0
County Ground (Bristol),2019,England,Pakistan,0
Trent Bridge,2019,England,Pakistan,0
Headingley,2019,England,Pakistan,0
Trent Bridge,2019,England,Pakistan,1
The Cooper Associates County Ground,2019,Australia,Pakistan,0
Old Trafford,2019,India,Pakistan,0
Lord's,2019,South Africa,Pakistan,1
Edgbaston,2019,New Zealand,Pakistan,1
Headingley,2019,Afghanistan,Pakistan,1
Lord's,2019,Bangladesh,Pakistan,1
SuperSport Park,2021,South Africa,Pakistan,1
Wanderers Stadium,2021,South Africa,Pakistan,0
SuperSport Park,2021,South Africa,Pakistan,1
Sophia Gardens,2021,England,Pakistan,0
Lord's,2021,England,Pakistan,0
Edgbaston,2021,England,Pakistan,0
Gaddafi Stadium,2022,Australia,Pakistan,0
Gaddafi Stadium,2022,Australia,Pakistan,1
Gaddafi Stadium,2022,Australia,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,0
National Stadium (Karachi),2023,New Zealand,Pakistan,0
Rawalpindi Cricket Stadium,2023,New Zealand,Pakistan,1
Rawalpindi Cricket Stadium,2023,New Zealand,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,1
National Stadium (Karachi),2023,New Zealand,Pakistan,0
Mahinda Rajapaksha International Cricket Stadium,2023,Afghanistan,Pakistan,1
Mahinda Rajapaksha International Cricket Stadium,2023,Afghanistan,Pakistan,1
R Premadasa Stadium,2023,Afghanistan,Pakistan,1
Gaddafi Stadium,2023,Bangladesh,Pakistan,1
R Premadasa Stadium,2023,India,Pakistan,0
Narendra Modi Stadium,2023,India,Pakistan,0
M Chinnaswamy Stadium,2023,Australia,Pakistan,0
MA Chidambaram Stadium,2023,Afghanistan,Pakistan,0
MA Chidambaram Stadium,2023,South Africa,Pakistan,0
Eden Gardens,2023,Bangladesh,Pakistan,1
M Chinnaswamy Stadium,2023,New Zealand,Pakistan,1
Eden Gardens,2023,England,Pakistan,0
Melbourne Cricket Ground,2024,Australia,Pakistan,0
Adelaide Oval,2024,Australia,Pakistan,1
Perth Stadium,2024,Australia,Pakistan,1
Boland Park,2024,South Africa,Pakistan,1
Newlands,2024,South Africa,Pakistan,1
