season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2007/08,Bangalore,18-04-2008,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,223
2007/08,Chandigarh,19-04-2008,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,241
2007/08,Delhi,19-04-2008,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,130
2007/08,Mumbai,20-04-2008,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,166
2007/08,Kolkata,20-04-2008,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,111
2007/08,Jaipur,21-04-2008,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,167
2007/08,Hyderabad,22-04-2008,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,143
2007/08,Chennai,23-04-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,209
2007/08,Hyderabad,24-04-2008,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,215
2007/08,Chandigarh,25-04-2008,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,183
2007/08,Bangalore,26-04-2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,136
2007/08,Chennai,26-04-2008,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,148
2007/08,Mumbai,27-04-2008,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,155
2007/08,Chandigarh,27-04-2008,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,159
2007/08,Bangalore,28-04-2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,179
2007/08,Kolkata,29-04-2008,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,138
2007/08,Delhi,30-04-2008,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,192
2007/08,Hyderabad,01-05-2008,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Punjab Kings,165
2007/08,Jaipur,01-05-2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,197
2007/08,Chennai,02-05-2008,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,170
2007/08,Chandigarh,03-05-2008,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,179
2007/08,Bangalore,03-05-2008,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,157
